Student_ID,First_Name,Last_Name,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,0,22,2,52.29,55.03,57.82,84.22,74.06,3.99,85.9,56.09,0.0,6.2,0,1,1,2,5,4.7
S1001,Maria,Brown,1,18,2,97.27,97.23,45.8,,94.24,8.32,55.65,50.64,4.0,19.0,0,1,4,2,4,9.0
S1002,Ahmed,Jones,1,24,0,57.19,67.05,93.68,67.7,85.7,5.05,73.79,70.3,1.0,20.7,0,1,2,1,6,6.2
S1003,Omar,Williams,0,24,3,95.15,47.79,80.63,66.06,93.51,6.54,92.12,61.63,4.0,24.8,1,1,1,0,3,6.7
S1004,John,Smith,0,23,1,54.18,46.59,78.89,96.85,83.7,5.97,68.42,66.13,0.0,15.4,1,1,1,0,2,7.1
S1005,Liam,Brown,1,21,2,,78.85,43.53,71.4,52.2,6.38,67.29,62.08,3.0,8.5,1,1,3,0,1,5.0
S1006,Ahmed,Jones,1,24,0,57.6,66.26,89.07,84.52,98.4,2.3,93.65,83.21,0.0,21.3,0,1,4,1,5,6.4
S1007,Ahmed,Smith,1,19,2,51.91,45.67,73.96,80.12,95.9,3.73,93.24,81.93,0.0,27.3,1,0,4,2,4,4.3
S1008,Omar,Smith,0,21,1,85.97,84.42,90.87,57.05,56.33,0.51,94.01,95.62,4.0,8.0,0,0,0,1,9,8.8
S1009,Sara,Smith,0,22,2,64.01,87.96,98.47,96.98,55.63,5.88,78.6,84.99,4.0,9.6,0,1,4,2,10,6.4
S1010,John,Smith,0,23,1,85.72,83.52,97.43,67.29,76.95,4.59,97.62,58.25,4.0,13.2,0,1,1,1,1,4.1
S1011,Omar,Williams,0,20,2,77.75,52.14,91.37,52.24,87.85,7.61,90.95,87.58,2.0,21.3,0,1,2,1,9,7.0
S1012,John,Davis,1,21,2,55.44,81.39,40.66,65.02,69.11,2.06,70.78,59.06,0.0,18.1,0,1,2,0,8,4.5
S1013,John,Williams,1,18,0,96.61,40.64,93.14,66.78,56.82,4.37,81.48,77.93,4.0,22.8,0,1,4,2,10,7.9
S1014,Liam,Williams,1,19,2,72.62,58.31,44.5,54.64,75.53,1.81,56.09,53.85,3.0,5.8,0,1,4,1,4,8.8
S1015,Ahmed,Jones,1,18,1,86.72,63.93,91.07,81.0,66.88,6.14,77.57,52.37,4.0,25.3,0,1,4,0,2,8.6
S1016,Maria,Jones,0,21,1,75.05,90.11,56.81,67.34,67.59,8.48,63.16,73.21,0.0,29.7,0,1,4,1,3,6.1
S1017,Liam,Davis,0,23,0,80.22,63.42,76.6,81.46,82.25,7.65,64.18,55.25,0.0,6.2,0,0,3,2,10,7.6
S1018,Liam,Jones,1,20,1,65.14,40.68,42.28,50.34,94.28,9.44,56.29,65.33,3.0,17.4,0,1,4,2,9,4.8
S1019,John,Johnson,1,20,2,60.02,61.14,86.27,99.1,77.93,9.72,67.91,66.94,1.0,23.5,1,1,3,1,10,4.4
S1020,Emma,Davis,1,18,1,77.13,69.94,46.7,,84.38,7.72,74.07,88.47,1.0,16.9,0,1,1,2,2,8.1
S1021,Ahmed,Jones,1,22,0,72.01,96.94,64.64,82.97,83.0,2.87,80.02,66.63,2.0,19.8,0,1,4,1,8,7.5
S1022,Sara,Davis,1,22,2,69.51,96.46,89.05,85.79,77.56,2.19,65.24,74.72,2.0,28.0,1,1,4,1,10,8.5
S1023,Liam,Williams,0,23,1,83.63,50.85,81.72,58.58,65.54,4.48,89.61,88.63,1.0,18.5,0,1,2,1,1,8.6
S1024,Maria,Williams,0,20,1,84.53,51.11,40.36,55.59,68.89,9.94,76.05,60.24,4.0,10.9,1,1,1,1,4,5.7
S1025,Emma,Davis,1,18,0,52.3,49.8,64.18,57.63,65.79,4.13,81.9,90.24,2.0,23.5,0,1,1,0,3,5.6
S1026,Emma,Johnson,1,18,2,66.94,87.34,42.52,62.34,95.87,1.99,63.91,91.59,4.0,14.4,0,1,4,1,10,6.2
S1027,Sara,Johnson,1,18,0,70.59,40.36,80.41,58.41,91.33,9.44,90.71,99.44,1.0,12.1,1,1,4,2,2,7.3
S1028,Liam,Davis,0,21,0,54.84,47.63,98.14,83.7,78.97,3.86,81.21,72.2,1.0,11.2,1,1,0,1,3,4.0
S1029,Maria,Jones,0,23,3,61.8,72.28,79.32,71.04,95.61,6.91,93.12,68.53,4.0,7.0,0,1,2,0,3,6.7
S1030,Ahmed,Brown,0,22,1,52.58,54.85,53.46,76.89,94.32,7.88,58.0,85.1,0.0,28.3,0,1,1,2,9,4.1
S1031,Ali,Johnson,1,22,3,99.81,45.54,61.31,52.37,96.38,8.43,69.03,52.91,3.0,19.1,0,1,0,1,3,6.3
S1032,Maria,Smith,0,21,1,,61.59,98.6,93.06,61.09,8.21,55.65,51.99,1.0,28.9,0,1,4,2,9,4.4
S1033,Sara,Williams,1,19,1,54.37,56.45,53.44,58.53,85.88,8.36,60.78,66.75,1.0,26.5,0,1,2,1,4,6.8
S1034,Emma,Davis,0,21,0,51.01,70.67,73.69,68.01,80.46,6.68,69.73,86.48,0.0,5.8,0,1,2,1,1,5.6
S1035,Ahmed,Smith,0,23,1,85.96,98.75,64.03,53.6,86.69,4.04,94.73,55.82,4.0,11.2,0,1,4,2,8,6.4
S1036,Maria,Davis,0,18,1,71.96,47.46,86.1,56.84,63.17,6.67,77.85,81.78,0.0,12.9,0,1,0,1,10,8.8
S1037,Ali,Williams,1,21,1,89.34,62.36,92.04,83.29,84.74,8.37,66.52,63.48,4.0,17.2,0,1,4,1,5,5.7
S1038,Ali,Williams,1,18,2,96.17,95.92,60.45,84.63,70.49,3.51,87.34,82.58,4.0,22.9,1,1,2,2,2,7.6
S1039,John,Johnson,0,23,2,79.97,92.61,79.62,83.85,91.7,2.97,50.98,72.85,4.0,22.0,0,1,0,1,9,7.4
S1040,John,Johnson,1,24,0,59.36,63.66,72.94,77.61,89.77,3.44,68.5,55.76,2.0,29.7,0,1,3,1,7,8.3
S1041,Omar,Smith,1,23,0,89.11,81.94,56.71,97.63,60.57,5.51,80.04,62.36,4.0,28.1,0,1,0,2,6,5.7
S1042,Sara,Davis,1,20,2,97.79,45.27,56.32,75.36,59.19,0.52,79.16,60.99,4.0,9.7,0,1,0,1,2,4.3
S1043,Liam,Williams,1,18,1,79.01,82.75,72.32,72.47,85.89,7.79,80.38,58.23,4.0,26.5,1,1,0,0,6,8.9
S1044,Maria,Smith,1,22,3,84.1,98.37,49.24,62.38,77.52,1.39,60.58,73.42,1.0,26.1,1,1,2,2,7,5.8
S1045,Maria,Brown,1,21,1,66.87,72.25,88.65,54.94,77.86,1.33,66.85,97.73,2.0,19.4,0,1,4,1,5,5.0
S1046,Liam,Smith,1,24,1,,69.91,44.14,77.41,87.63,1.98,96.58,82.9,2.0,13.5,0,1,2,1,5,8.6
S1047,Omar,Jones,0,23,1,86.73,51.24,45.67,65.74,92.75,5.77,98.7,91.8,4.0,10.2,0,1,2,0,4,5.0
S1048,Emma,Smith,1,18,2,96.39,78.03,60.53,76.2,61.95,2.86,65.6,99.05,3.0,10.3,0,1,2,2,10,6.6
S1049,Emma,Jones,1,24,1,81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,3.0,13.4,0,1,2,1,1,7.8
S1050,Omar,Jones,0,19,1,89.49,79.12,68.54,91.91,91.45,9.32,62.06,61.9,4.0,17.6,0,1,4,1,10,7.7
S1051,Emma,Jones,0,20,1,58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,1.0,19.6,1,1,3,2,7,4.1
S1052,John,Brown,0,19,1,60.6,72.92,83.31,66.12,64.37,8.52,89.62,84.95,3.0,13.1,0,1,4,1,3,5.0
S1053,Maria,Smith,0,23,2,76.6,75.7,97.18,92.12,55.21,5.78,75.06,97.95,2.0,13.9,0,1,1,2,5,8.4
S1054,Omar,Smith,1,19,0,,52.45,85.21,93.65,61.64,8.66,92.48,82.55,3.0,5.3,0,1,1,2,8,6.8
S1055,Maria,Brown,0,19,0,81.75,52.5,50.77,,97.27,7.79,81.44,88.76,4.0,5.1,0,1,4,2,2,7.4
S1056,Liam,Williams,0,20,1,64.58,56.57,96.13,67.14,73.12,9.53,81.45,94.53,0.0,27.7,0,1,0,1,4,6.0
S1057,Ali,Johnson,1,20,1,89.58,82.7,63.53,87.8,70.93,0.64,51.69,87.96,4.0,5.4,1,1,4,1,9,7.7
S1058,John,Smith,1,20,3,90.41,76.38,68.45,61.44,50.65,0.29,87.48,78.13,3.0,5.8,1,1,4,0,2,5.4
S1059,Ahmed,Johnson,1,24,1,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.6,0.0,10.1,0,0,2,2,8,5.2
S1060,John,Davis,0,20,0,59.04,57.74,56.83,85.24,83.43,9.29,73.65,91.17,1.0,23.6,0,1,4,1,9,9.0
S1061,Omar,Davis,1,19,1,82.34,94.72,93.7,,79.49,6.06,57.93,88.6,3.0,22.0,0,1,4,1,3,4.8
S1062,Ahmed,Brown,0,22,3,99.64,84.62,59.93,60.36,78.78,4.26,98.85,68.32,4.0,21.2,1,1,3,2,5,8.9
S1063,Ali,Davis,1,22,1,81.13,63.7,74.72,92.44,55.52,5.13,64.51,74.92,0.0,19.4,0,1,0,2,4,8.6
S1064,Omar,Davis,1,20,2,51.79,45.72,54.4,71.05,67.6,8.3,70.46,81.75,2.0,10.0,0,1,2,1,10,7.6
